"BandNumber","sex","N"
"2540-98877","one",0
"2600-27451","one",0
"2600-27737","one",0
"2540-98605","one",1
"2540-98929","one",1
"2600-27265","one",1
"2600-27211","one",2
"2540-98606","one",3
"2540-98872","one",3
"2600-27615","one",3
"2540-98915","one",4
"2540-98618","one",6
"2391-83585","one",7
"2540-98876","one",7
"2391-90700","one",11
"2600-27205","two",2
"2600-27405","two",3
"2600-27267","two",4
"2600-27549","two",4
"2540-98719","two",7
"2540-98868","two",8
"2600-27568","two",8
"2540-98871","two",9
"2540-98933","two",10
"2600-27557","two",10
"2391-90936","two",11
"2540-98984","two",14
"2600-27262","two",14
"2600-27313","two",14
"2600-27559","two",14
"2600-27570","two",14
"2391-83716","two",15
"2600-27551","two",16
"2540-46095","two",17
"2600-27221","two",21
"2511-19701","two",23
"2540-44751","two",23
"2600-27468","two",24
"2600-27260","two",25
"2540-98977","two",26
"2600-27496","two",26
"2600-27264","two",34
"2600-27411","two",34
"2600-27638","two",34
"2600-27212","two",35
"2600-27555","two",36
"2540-44680","two",39
"2600-27408","two",41
"2600-27746","two",48
"2540-46019","two",57
"2540-98833","two",59
"2600-27294","two",68
"2600-27738","two",72
"2600-27495","two",78
"2600-27548","two",91
"2600-27616","two",100
